(217, 217, 217, 255)
(230, 230, 230, 255)
(246, 246, 246, 255)
(252, 252, 252, 255)
(225, 225, 225, 255)
(221, 221, 221, 255)
(220, 220, 220, 255)
(231, 231, 231, 255)
(246, 246, 246, 255)
(246, 246, 246, 255)
(252, 252, 252, 255)
(237, 237, 237, 255)
(228, 228, 228, 255)
(248, 248, 248, 255)
(254, 254, 254, 255)
(233, 233, 233, 255)
(226, 226, 226, 255)
(217, 217, 217, 255)
(241, 241, 241, 255)
(220, 220, 220, 255)
(224, 224, 224, 255)
(221, 221, 221, 255)
(235, 235, 235, 255)
(226, 226, 226, 255)
(221, 221, 221, 255)
(229, 229, 229, 255)
(246, 246, 246, 255)
(244, 244, 244, 255)
(234, 234, 234, 255)
(254, 254, 254, 255)
(226, 226, 226, 255)
(252, 252, 252, 255)
(229, 229, 229, 255)
(222, 222, 222, 255)
(223, 223, 223, 255)
(217, 217, 217, 255)
(244, 244, 244, 255)
(238, 238, 238, 255)
(246, 246, 246, 255)
(251, 251, 251, 255)
(239, 239, 239, 255)
(250, 250, 250, 255)
(220, 220, 220, 255)
(238, 238, 238, 255)
(233, 233, 233, 255)
(224, 224, 224, 255)
(229, 229, 229, 255)
(236, 236, 236, 255)
(230, 230, 230, 255)
(254, 254, 254, 255)
(233, 233, 233, 255)
(232, 232, 232, 255)
(248, 248, 248, 255)
(231, 231, 231, 255)
(221, 221, 221, 255)
(230, 230, 230, 255)
(247, 247, 247, 255)
(237, 237, 237, 255)
(238, 238, 238, 255)
(233, 233, 233, 255)
(248, 248, 248, 255)
(248, 248, 248, 255)
(236, 236, 236, 255)
(234, 234, 234, 255)
(231, 231, 231, 255)
(243, 243, 243, 255)
(240, 240, 240, 255)
(236, 236, 236, 255)
(218, 218, 218, 255)
(228, 228, 228, 255)
(219, 219, 219, 255)
(217, 217, 217, 255)
(227, 227, 227, 255)
(220, 220, 220, 255)
(222, 222, 222, 255)
(217, 217, 217, 255)
(225, 225, 225, 255)
(224, 224, 224, 255)
(229, 229, 229, 255)
(254, 254, 254, 255)
(250, 250, 250, 255)
(245, 245, 245, 255)
(248, 248, 248, 255)
(254, 254, 254, 255)
(241, 241, 241, 255)
(232, 232, 232, 255)
(241, 241, 241, 255)
(246, 246, 246, 255)
(248, 248, 248, 255)
(247, 247, 247, 255)
(236, 236, 236, 255)
(250, 250, 250, 255)
(227, 227, 227, 255)
(223, 223, 223, 255)
(244, 244, 244, 255)
(223, 223, 223, 255)
(254, 254, 254, 255)
(226, 226, 226, 255)
(251, 251, 251, 255)
(240, 240, 240, 255)
(230, 230, 230, 255)
(220, 220, 220, 255)
(249, 249, 249, 255)
(221, 221, 221, 255)
(218, 218, 218, 255)
(245, 245, 245, 255)
(252, 252, 252, 255)
(251, 251, 251, 255)
(225, 225, 225, 255)
(238, 238, 238, 255)
(244, 244, 244, 255)
(253, 253, 253, 255)
(245, 245, 245, 255)
(249, 249, 249, 255)
(221, 221, 221, 255)
(246, 246, 246, 255)
(251, 251, 251, 255)
(253, 253, 253, 255)
(226, 226, 226, 255)
(219, 219, 219, 255)
(241, 241, 241, 255)
(228, 228, 228, 255)
(232, 232, 232, 255)
(241, 241, 241, 255)
(231, 231, 231, 255)
(224, 224, 224, 255)
(232, 232, 232, 255)
(237, 237, 237, 255)
(229, 229, 229, 255)
(223, 223, 223, 255)
(243, 243, 243, 255)
(242, 242, 242, 255)
(247, 247, 247, 255)
(226, 226, 226, 255)
(217, 217, 217, 255)
(221, 221, 221, 255)
(235, 235, 235, 255)
(234, 234, 234, 255)
(254, 254, 254, 255)
(232, 232, 232, 255)
(222, 222, 222, 255)
(246, 246, 246, 255)
(230, 230, 230, 255)
(253, 253, 253, 255)
(233, 233, 233, 255)
(239, 239, 239, 255)
(250, 250, 250, 255)
(244, 244, 244, 255)
(222, 222, 222, 255)
(227, 227, 227, 255)
(220, 220, 220, 255)
(245, 245, 245, 255)
(222, 222, 222, 255)
(220, 220, 220, 255)
(254, 254, 254, 255)
(254, 254, 254, 255)
(246, 246, 246, 255)
(248, 248, 248, 255)
(237, 237, 237, 255)
(250, 250, 250, 255)
(225, 225, 225, 255)
(238, 238, 238, 255)
(220, 220, 220, 255)
(225, 225, 225, 255)
(250, 250, 250, 255)
(219, 219, 219, 255)
(217, 217, 217, 255)
(254, 254, 254, 255)
(238, 238, 238, 255)
(221, 221, 221, 255)
(241, 241, 241, 255)
(248, 248, 248, 255)
(222, 222, 222, 255)
(248, 248, 248, 255)
(235, 235, 235, 255)
(238, 238, 238, 255)
(241, 241, 241, 255)
(230, 230, 230, 255)
(235, 235, 235, 255)
(248, 248, 248, 255)
(224, 224, 224, 255)
(252, 252, 252, 255)
(236, 236, 236, 255)
(236, 236, 236, 255)
(231, 231, 231, 255)
(220, 220, 220, 255)
(229, 229, 229, 255)
(231, 231, 231, 255)
(250, 250, 250, 255)
(238, 238, 238, 255)
(253, 253, 253, 255)
(218, 218, 218, 255)
(253, 253, 253, 255)
(247, 247, 247, 255)
(254, 254, 254, 255)
(230, 230, 230, 255)
(228, 228, 228, 255)
(219, 219, 219, 255)
(220, 220, 220, 255)
(217, 217, 217, 255)
(243, 243, 243, 255)
(238, 238, 238, 255)
(244, 244, 244, 255)
(222, 222, 222, 255)
(224, 224, 224, 255)
(232, 232, 232, 255)
(251, 251, 251, 255)
(254, 254, 254, 255)
(247, 247, 247, 255)
(240, 240, 240, 255)
(241, 241, 241, 255)
(225, 225, 225, 255)
(229, 229, 229, 255)
(246, 246, 246, 255)
(231, 231, 231, 255)
(224, 224, 224, 255)
(238, 238, 238, 255)
(228, 228, 228, 255)
(254, 254, 254, 255)
(223, 223, 223, 255)
(225, 225, 225, 255)
(240, 240, 240, 255)
(229, 229, 229, 255)
(243, 243, 243, 255)
(251, 251, 251, 255)
(225, 225, 225, 255)
(244, 244, 244, 255)
(222, 222, 222, 255)
(217, 217, 217, 255)
(253, 253, 253, 255)
(223, 223, 223, 255)
(218, 218, 218, 255)
(252, 252, 252, 255)
(218, 218, 218, 255)
(237, 237, 237, 255)
(238, 238, 238, 255)
